CVE_ID;Year;CVSS_Score;Severity;Attack_Vector;Attack_Complexity;Privileges_Required;User_Interaction;Confidentiality_Impact;Integrity_Impact;Availability_Impact;Automatable
CVE-2023-0776;2023;8.1;HIGH;NETWORK;HIGH;NONE;NONE;LOW;HIGH;LOW;no
CVE-2023-0777;2023;8.6;HIGH;NETWORK;LOW;NONE;NONE;HIGH;NONE;NONE;no
CVE-2023-0778;2023;6.8;MEDIUM;NETWORK;HIGH;LOW;NONE;HIGH;HIGH;NONE;no
CVE-2023-0779;2023;6.7;MEDIUM;ADJACENT_NETWORK;HIGH;LOW;NONE;LOW;HIGH;HIGH;no
CVE-2023-0780;2023;4.0;MEDIUM;LOCAL;LOW;NONE;NONE;LOW;NONE;NONE;no
CVE-2023-0781;2023;6.3;MEDIUM;;;;;;;;
CVE-2023-0782;2023;7.2;HIGH;;;;;;;;no
CVE-2023-0783;2023;4.7;MEDIUM;;;;;;;;
CVE-2023-0784;2023;7.3;HIGH;;;;;;;;
CVE-2023-0785;2023;3.7;LOW;;;;;;;;
CVE-2023-0786;2023;8.4;HIGH;NETWORK;LOW;HIGH;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0787;2023;8.1;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;NONE;no
CVE-2023-0788;2023;8.1;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;NONE;no
CVE-2023-0789;2023;8.1;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;NONE;no
CVE-2023-0790;2023;7.6;HIGH;NETWORK;LOW;LOW;NONE;LOW;LOW;HIGH;no
CVE-2023-0791;2023;8.3;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;LOW;no
CVE-2023-0792;2023;6.5;MEDIUM;NETWORK;LOW;NONE;NONE;LOW;LOW;NONE;yes
CVE-2023-0793;2023;7.1;HIGH;NETWORK;LOW;LOW;NONE;LOW;HIGH;NONE;no
CVE-2023-0794;2023;8.3;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;LOW;no
CVE-2023-0795;2023;6.8;MEDIUM;LOCAL;LOW;NONE;NONE;LOW;NONE;HIGH;no
CVE-2023-0796;2023;6.8;MEDIUM;LOCAL;LOW;NONE;NONE;LOW;NONE;HIGH;no
CVE-2023-0797;2023;6.8;MEDIUM;LOCAL;LOW;NONE;NONE;LOW;NONE;HIGH;no
CVE-2023-0798;2023;6.8;MEDIUM;LOCAL;LOW;NONE;NONE;LOW;NONE;HIGH;no
CVE-2023-0799;2023;6.8;MEDIUM;LOCAL;LOW;NONE;NONE;NONE;LOW;HIGH;no
CVE-2023-0800;2023;6.8;MEDIUM;LOCAL;LOW;NONE;NONE;NONE;LOW;HIGH;no
CVE-2023-0801;2023;6.8;MEDIUM;LOCAL;LOW;NONE;NONE;NONE;LOW;HIGH;no
CVE-2023-0802;2023;6.8;MEDIUM;LOCAL;LOW;NONE;NONE;NONE;LOW;HIGH;no
CVE-2023-0803;2023;6.8;MEDIUM;LOCAL;LOW;NONE;NONE;NONE;LOW;HIGH;no
CVE-2023-0804;2023;6.8;MEDIUM;LOCAL;LOW;NONE;NONE;NONE;LOW;HIGH;no
CVE-2023-0805;2023;4.9;MEDIUM;NETWORK;LOW;HIGH;NONE;NONE;HIGH;NONE;no
CVE-2023-0808;2023;3.9;LOW;;;;;;;;
CVE-2023-0809;2023;5.8;MEDIUM;NETWORK;LOW;NONE;NONE;NONE;NONE;LOW;yes
CVE-2023-0810;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0811;2023;9.1;CRITICAL;NETWORK;LOW;NONE;NONE;NONE;HIGH;HIGH;yes
CVE-2023-0812;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;HIGH;NONE;NONE;no
CVE-2023-0813;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;HIGH;NONE;NONE;yes
CVE-2023-0814;2023;6.5;MEDIUM;;;;;;;;no
CVE-2023-0815;2023;6.8;MEDIUM;ADJACENT_NETWORK;LOW;LOW;NONE;HIGH;NONE;NONE;no
CVE-2023-0816;2023;6.5;MEDIUM;NETWORK;LOW;NONE;NONE;LOW;LOW;NONE;yes
CVE-2023-0817;2023;7.3;HIGH;LOCAL;LOW;NONE;REQUIRED;HIGH;HIGH;LOW;no
CVE-2023-0818;2023;7.1;HIGH;LOCAL;LOW;NONE;REQUIRED;HIGH;HIGH;NONE;no
CVE-2023-0819;2023;7.8;HIGH;LOCAL;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0820;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0821;2023;6.5;MEDIUM;NETWORK;LOW;LOW;NONE;NONE;NONE;HIGH;no
CVE-2023-0822;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0823;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0824;2023;7.4;HIGH;NETWORK;LOW;NONE;REQUIRED;NONE;HIGH;NONE;no
CVE-2023-0827;2023;6.3;MEDIUM;NETWORK;LOW;LOW;NONE;LOW;LOW;LOW;no
CVE-2023-0828;2023;6.7;MEDIUM;NETWORK;HIGH;LOW;REQUIRED;HIGH;HIGH;LOW;no
CVE-2023-0829;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0830;2023;5.3;MEDIUM;;;;;;;;
CVE-2023-0831;2023;4.3;MEDIUM;;;;;;;;no
CVE-2023-0832;2023;4.3;MEDIUM;;;;;;;;no
CVE-2023-0833;2023;4.7;MEDIUM;LOCAL;HIGH;LOW;NONE;HIGH;NONE;NONE;
CVE-2023-0834;2023;7.0;HIGH;LOCAL;HIGH;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0835;2023;8.2;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;LOW;NONE;no
CVE-2023-0836;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;HIGH;NONE;NONE;yes
CVE-2023-0837;2023;6.6;MEDIUM;LOCAL;LOW;LOW;REQUIRED;NONE;HIGH;HIGH;no
CVE-2023-0838;2023;5.5;MEDIUM;NETWORK;LOW;HIGH;NONE;LOW;LOW;NONE;no
CVE-2023-0839;2023;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;yes
CVE-2023-0840;2023;3.5;LOW;;;;;;;;no
CVE-2023-0841;2023;6.3;MEDIUM;;;;;;;;no
CVE-2023-0842;2023;5.3;MEDIUM;NETWORK;LOW;NONE;NONE;NONE;LOW;NONE;yes
CVE-2023-0844;2023;;;;;;;;;;no
CVE-2023-0845;2023;4.9;MEDIUM;NETWORK;LOW;HIGH;NONE;NONE;NONE;HIGH;no
CVE-2023-0846;2023;6.7;MEDIUM;ADJACENT_NETWORK;LOW;LOW;REQUIRED;HIGH;HIGH;NONE;
CVE-2023-0847;2023;5.3;MEDIUM;NETWORK;LOW;NONE;NONE;NONE;LOW;NONE;yes
CVE-2023-0848;2023;5.3;MEDIUM;;;;;;;;
CVE-2023-0849;2023;4.7;MEDIUM;;;;;;;;
CVE-2023-0850;2023;2.7;LOW;;;;;;;;
CVE-2023-0851;2023;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;yes
CVE-2023-0852;2023;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;yes
CVE-2023-0853;2023;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;yes
CVE-2023-0854;2023;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;yes
CVE-2023-0855;2023;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;yes
CVE-2023-0856;2023;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;yes
CVE-2023-0857;2023;5.9;MEDIUM;NETWORK;HIGH;NONE;NONE;NONE;HIGH;NONE;no
CVE-2023-0858;2023;3.1;LOW;NETWORK;HIGH;NONE;REQUIRED;LOW;NONE;NONE;no
CVE-2023-0859;2023;2.2;LOW;NETWORK;HIGH;HIGH;NONE;NONE;LOW;NONE;no
CVE-2023-0860;2023;7.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0861;2023;7.2;HIGH;NETWORK;LOW;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0862;2023;7.2;HIGH;NETWORK;LOW;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0863;2023;8.8;HIGH;ADJACENT_NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0864;2023;7.1;HIGH;ADJACENT_NETWORK;HIGH;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0865;2023;;;;;;;;;;no
CVE-2023-0866;2023;7.8;HIGH;LOCAL;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0867;2023;6.7;MEDIUM;ADJACENT_NETWORK;LOW;LOW;REQUIRED;HIGH;HIGH;NONE;
CVE-2023-0868;2023;6.7;MEDIUM;ADJACENT_NETWORK;LOW;LOW;REQUIRED;HIGH;HIGH;NONE;
CVE-2023-0869;2023;5.8;MEDIUM;ADJACENT_NETWORK;LOW;LOW;REQUIRED;HIGH;LOW;NONE;
CVE-2023-0870;2023;8.1;HIGH;ADJACENT_NETWORK;LOW;LOW;REQUIRED;HIGH;HIGH;NONE;no
CVE-2023-0871;2023;5.4;MEDIUM;ADJACENT_NETWORK;LOW;LOW;NONE;LOW;NONE;LOW;no
CVE-2023-0872;2023;8.2;HIGH;ADJACENT_NETWORK;LOW;LOW;NONE;LOW;HIGH;LOW;no
CVE-2023-0873;2023;;;;;;;;;;no
CVE-2023-0874;2023;4.8;MEDIUM;NETWORK;LOW;HIGH;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0875;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0876;2023;6.1;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0877;2023;9.1;CRITICAL;NETWORK;LOW;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0878;2023;6.1;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0879;2023;6.3;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;LOW;no
CVE-2023-0880;2023;8.3;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;LOW;no
CVE-2023-0881;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;NONE;NONE;HIGH;yes
CVE-2023-0882;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0883;2023;6.3;MEDIUM;;;;;;;;
CVE-2023-0887;2023;7.0;HIGH;;;;;;;;no
CVE-2023-0888;2023;4.9;MEDIUM;NETWORK;LOW;HIGH;NONE;NONE;HIGH;NONE;no
CVE-2023-0889;2023;6.5;MEDIUM;NETWORK;LOW;LOW;NONE;NONE;HIGH;NONE;no
CVE-2023-0890;2023;;;;;;;;;;no
CVE-2023-0891;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0892;2023;4.8;MEDIUM;NETWORK;LOW;HIGH;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0893;2023;4.8;MEDIUM;NETWORK;LOW;HIGH;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0894;2023;4.8;MEDIUM;NETWORK;LOW;HIGH;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0895;2023;7.2;HIGH;;;;;;;;no
CVE-2023-0896;2023;8.8;HIGH;ADJACENT_NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0897;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0898;2023;5.3;MEDIUM;LOCAL;LOW;HIGH;REQUIRED;LOW;LOW;HIGH;no
CVE-2023-0899;2023;6.1;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0900;2023;7.2;HIGH;NETWORK;LOW;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0901;2023;5.3;MEDIUM;NETWORK;LOW;NONE;NONE;LOW;NONE;NONE;yes
CVE-2023-0902;2023;3.5;LOW;;;;;;;;no
CVE-2023-0903;2023;5.0;MEDIUM;;;;;;;;no
CVE-2023-0904;2023;6.3;MEDIUM;;;;;;;;
CVE-2023-0905;2023;7.3;HIGH;;;;;;;;
CVE-2023-0906;2023;7.3;HIGH;;;;;;;;
CVE-2023-0907;2023;4.4;MEDIUM;;;;;;;;
CVE-2023-0908;2023;5.5;MEDIUM;;;;;;;;
CVE-2023-0909;2023;3.3;LOW;;;;;;;;
CVE-2023-0910;2023;6.3;MEDIUM;;;;;;;;
CVE-2023-0911;2023;6.5;MEDIUM;NETWORK;LOW;LOW;NONE;HIGH;NONE;NONE;no
CVE-2023-0912;2023;4.7;MEDIUM;;;;;;;;
CVE-2023-0913;2023;4.7;MEDIUM;;;;;;;;
CVE-2023-0914;2023;4.3;MEDIUM;NETWORK;LOW;LOW;NONE;LOW;NONE;NONE;
CVE-2023-0915;2023;6.3;MEDIUM;;;;;;;;no
CVE-2023-0916;2023;6.3;MEDIUM;;;;;;;;
CVE-2023-0917;2023;7.3;HIGH;;;;;;;;
CVE-2023-0918;2023;6.3;MEDIUM;;;;;;;;no
CVE-2023-0919;2023;8.1;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;NONE;
CVE-2023-0921;2023;4.3;MEDIUM;NETWORK;LOW;LOW;NONE;NONE;NONE;LOW;no
CVE-2023-0922;2023;5.9;MEDIUM;NETWORK;HIGH;NONE;REQUIRED;HIGH;LOW;NONE;no
CVE-2023-0923;2023;8.8;HIGH;ADJACENT_NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0924;2023;7.2;HIGH;NETWORK;LOW;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0925;2023;;;;;;;;;;yes
CVE-2023-0926;2023;4.4;MEDIUM;;;;;;;;no
CVE-2023-0927;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0928;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0929;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0930;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0931;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0932;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0933;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0934;2023;6.3;MEDIUM;NETWORK;LOW;LOW;NONE;LOW;LOW;LOW;no
CVE-2023-0935;2023;6.3;MEDIUM;;;;;;;;no
CVE-2023-0936;2023;6.5;MEDIUM;;;;;;;;no
CVE-2023-0937;2023;6.1;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0938;2023;6.3;MEDIUM;;;;;;;;
CVE-2023-0939;2023;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;
CVE-2023-0940;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0941;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0942;2023;6.1;MEDIUM;;;;;;;;no
CVE-2023-0943;2023;4.7;MEDIUM;;;;;;;;
CVE-2023-0944;2023;4.3;MEDIUM;NETWORK;LOW;LOW;NONE;NONE;LOW;NONE;no
CVE-2023-0945;2023;3.5;LOW;;;;;;;;
CVE-2023-0946;2023;6.3;MEDIUM;;;;;;;;yes
CVE-2023-0947;2023;8.1;HIGH;LOCAL;HIGH;NONE;NONE;HIGH;HIGH;HIGH;yes
CVE-2023-0948;2023;6.1;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0949;2023;4.8;MEDIUM;NETWORK;LOW;HIGH;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0950;2023;7.8;HIGH;LOCAL;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0951;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0952;2023;6.5;MEDIUM;NETWORK;LOW;NONE;REQUIRED;HIGH;NONE;NONE;no
CVE-2023-0953;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0954;2023;8.3;HIGH;ADJACENT_NETWORK;HIGH;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0955;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0956;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;HIGH;NONE;NONE;yes
CVE-2023-0957;2023;8.2;HIGH;NETWORK;HIGH;NONE;REQUIRED;HIGH;HIGH;LOW;no
CVE-2023-0958;2023;4.3;MEDIUM;;;;;;;;no
CVE-2023-0959;2023;6.5;MEDIUM;NETWORK;LOW;NONE;REQUIRED;NONE;HIGH;NONE;no
CVE-2023-0960;2023;4.7;MEDIUM;;;;;;;;
CVE-2023-0961;2023;6.3;MEDIUM;;;;;;;;
CVE-2023-0962;2023;6.3;MEDIUM;;;;;;;;
CVE-2023-0963;2023;7.3;HIGH;;;;;;;;no
CVE-2023-0964;2023;5.0;MEDIUM;;;;;;;;
CVE-2023-0965;2023;3.1;LOW;NETWORK;HIGH;LOW;NONE;LOW;NONE;NONE;no
CVE-2023-0966;2023;2.4;LOW;;;;;;;;
CVE-2023-0967;2023;6.5;MEDIUM;NETWORK;LOW;LOW;NONE;HIGH;NONE;NONE;no
CVE-2023-0968;2023;6.1;MEDIUM;;;;;;;;no
CVE-2023-0969;2023;3.5;LOW;ADJACENT_NETWORK;LOW;LOW;NONE;LOW;NONE;NONE;no
CVE-2023-0970;2023;7.1;HIGH;PHYSICAL;HIGH;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0971;2023;9.6;CRITICAL;ADJACENT_NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0972;2023;9.6;CRITICAL;ADJACENT_NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0973;2023;2.2;LOW;LOCAL;HIGH;LOW;REQUIRED;NONE;NONE;LOW;no
CVE-2023-0975;2023;8.2;HIGH;LOCAL;LOW;LOW;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0976;2023;6.3;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;LOW;no
CVE-2023-0977;2023;6.7;MEDIUM;LOCAL;LOW;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0978;2023;6.4;MEDIUM;LOCAL;HIGH;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0979;2023;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;
CVE-2023-0980;2023;6.3;MEDIUM;;;;;;;;
CVE-2023-0981;2023;6.3;MEDIUM;;;;;;;;
CVE-2023-0982;2023;6.3;MEDIUM;;;;;;;;
CVE-2023-0983;2023;6.1;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0985;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0986;2023;6.3;MEDIUM;;;;;;;;
CVE-2023-0987;2023;3.5;LOW;;;;;;;;no
CVE-2023-0988;2023;4.3;MEDIUM;;;;;;;;no
CVE-2023-0989;2023;4.3;MEDIUM;NETWORK;LOW;LOW;NONE;LOW;NONE;NONE;no
CVE-2023-0992;2023;7.2;HIGH;;;;;;;;yes
CVE-2023-0993;2023;4.3;MEDIUM;;;;;;;;no
CVE-2023-0994;2023;8.1;HIGH;NETWORK;HIGH;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0995;2023;5.4;MEDIUM;NETWORK;LOW;LOW;NONE;LOW;LOW;NONE;no
CVE-2023-0996;2023;7.8;HIGH;LOCAL;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0997;2023;7.3;HIGH;;;;;;;;
CVE-2023-0998;2023;6.5;MEDIUM;;;;;;;;
CVE-2023-0999;2023;4.3;MEDIUM;;;;;;;;
CVE-2024-0001;2024;10.0;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0002;2024;10.0;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;yes
CVE-2024-0003;2024;9.1;CRITICAL;NETWORK;LOW;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0004;2024;9.1;CRITICAL;NETWORK;LOW;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0005;2024;9.1;CRITICAL;NETWORK;LOW;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0006;2024;5.4;MEDIUM;ADJACENT;HIGH;HIGH;ACTIVE;;;;no
CVE-2024-0007;2024;6.8;MEDIUM;NETWORK;LOW;HIGH;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2024-0008;2024;6.6;MEDIUM;PHYSICAL;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2024-0009;2024;6.3;MEDIUM;NETWORK;LOW;LOW;NONE;LOW;LOW;LOW;no
CVE-2024-0010;2024;4.3;MEDIUM;NETWORK;LOW;NONE;REQUIRED;NONE;LOW;NONE;no
CVE-2024-0011;2024;4.3;MEDIUM;NETWORK;LOW;NONE;REQUIRED;NONE;LOW;NONE;no
CVE-2024-0012;2024;9.3;CRITICAL;NETWORK;LOW;NONE;NONE;;;;yes
CVE-2024-0014;2024;8.4;HIGH;LOCAL;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0015;2024;7.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0016;2024;6.5;MEDIUM;NETWORK;LOW;NONE;NONE;LOW;LOW;NONE;yes
CVE-2024-0017;2024;5.5;MEDIUM;LOCAL;LOW;LOW;NONE;HIGH;NONE;NONE;no
CVE-2024-0018;2024;8.4;HIGH;LOCAL;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0019;2024;6.2;MEDIUM;LOCAL;LOW;NONE;NONE;NONE;NONE;HIGH;no
CVE-2024-0020;2024;5.5;MEDIUM;LOCAL;LOW;LOW;NONE;HIGH;NONE;NONE;no
CVE-2024-0021;2024;7.0;HIGH;LOCAL;HIGH;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2024-0022;2024;5.5;MEDIUM;LOCAL;LOW;LOW;NONE;HIGH;NONE;NONE;no
CVE-2024-0023;2024;7.4;HIGH;LOCAL;HIGH;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0024;2024;7.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0025;2024;7.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0026;2024;4.7;MEDIUM;LOCAL;HIGH;LOW;NONE;NONE;NONE;HIGH;no
CVE-2024-0027;2024;5.9;MEDIUM;LOCAL;LOW;NONE;NONE;LOW;LOW;LOW;no
CVE-2024-0028;2024;5.5;MEDIUM;LOCAL;LOW;LOW;NONE;HIGH;NONE;NONE;no
CVE-2024-0029;2024;7.1;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;NONE;no
CVE-2024-0030;2024;5.5;MEDIUM;LOCAL;LOW;LOW;NONE;HIGH;NONE;NONE;no
CVE-2024-0031;2024;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;yes
CVE-2024-0032;2024;6.8;MEDIUM;NETWORK;LOW;HIGH;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2024-0033;2024;8.4;HIGH;LOCAL;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0034;2024;7.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0035;2024;7.4;HIGH;LOCAL;HIGH;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0036;2024;7.4;HIGH;LOCAL;HIGH;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0037;2024;3.3;LOW;LOCAL;LOW;LOW;NONE;LOW;NONE;NONE;no
CVE-2024-0038;2024;8.4;HIGH;LOCAL;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0039;2024;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0040;2024;7.5;HIGH;NETWORK;LOW;NONE;NONE;HIGH;NONE;NONE;yes
CVE-2024-0041;2024;8.4;HIGH;LOCAL;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0042;2024;5.6;MEDIUM;NETWORK;HIGH;NONE;NONE;LOW;LOW;LOW;no
CVE-2024-0043;2024;7.8;HIGH;LOCAL;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2024-0044;2024;7.8;HIGH;LOCAL;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2024-0045;2024;7.5;HIGH;NETWORK;LOW;NONE;NONE;HIGH;NONE;NONE;yes
CVE-2024-0046;2024;7.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0047;2024;5.5;MEDIUM;LOCAL;LOW;LOW;NONE;NONE;NONE;HIGH;no
CVE-2024-0048;2024;8.4;HIGH;LOCAL;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0049;2024;7.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0050;2024;7.1;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;NONE;no
CVE-2024-0051;2024;7.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2024-0052;2024;6.2;MEDIUM;LOCAL;LOW;NONE;NONE;HIGH;NONE;NONE;no
CVE-2024-0053;2024;3.3;LOW;LOCAL;LOW;LOW;NONE;LOW;NONE;NONE;no
CVE-2024-0054;2024;6.5;MEDIUM;NETWORK;LOW;LOW;NONE;NONE;NONE;HIGH;no
CVE-2024-0055;2024;6.5;MEDIUM;NETWORK;LOW;LOW;NONE;NONE;NONE;HIGH;no
CVE-2024-0056;2024;8.7;HIGH;;;;;;;;no
CVE-2024-0057;2024;9.1;CRITICAL;;;;;;;;yes
CVE-2024-0066;2024;5.3;MEDIUM;NETWORK;LOW;NONE;NONE;LOW;NONE;NONE;yes
CVE-2024-0067;2024;4.3;MEDIUM;NETWORK;LOW;LOW;NONE;LOW;NONE;NONE;no
